"","Dataset","Title","Beg","treatyID"
"112","DESTA","EC Switzerland Bilaterals 1","1999-01-01","ECSWTB_1999O1"
"194","GPTAD","Armenia Turkmenistan","1995-03-10","ARM-TKM[NA]_1995O"
"195","GPTAD","Estonia Ukraine","1995-05-24","EST-UKR[UKR]_1995O"
"196","GPTAD","Kyrgyzstan Moldova","1995-05-26","KGZ-MDA[MLD]_1995O"
"197","GPTAD","Kyrgyzstan Ukraine","1995-05-26","KGZ-UKR[UKR]_1995O"
"198","GPTAD","Armenia-Iran","1995-06-05","ARM-IRN[IRN]_1995O"
"199","GPTAD","EFTA Slovenia","1995-06-13","EFTSLV_1995O"
"200","GPTAD","Kazakhstan Kyrgyzstan","1995-06-22","KAZ-KGZ[NA]_1995O"
"201","GPTAD","EC Tunisia","1995-07-07","ECTUNS_1995O"
"202","GPTAD","EFTA Estonia","1995-07-12","EFTEST_1995O"
"203","GPTAD","EFTA Latvian","1995-07-12","EFTLTV_1995O"
"204","GPTAD","EFTA Lithuania","1995-07-12","EFTLTH_1995O"
"205","GPTAD","Azerbaijan Ukraine","1995-07-28","AZE-UKR[UKR]_1995O"
"206","GPTAD","Armenia Georgia","1995-08-14","ARM-GEO[NA]_1995O"
"207","GPTAD","Georgia Ukraine","1995-09-01","GEO-UKR[UKR]_1995O"
"208","GPTAD","Israel Jordan","1995-10-25","ISR-JOR[NA]_1995O"
"209","GPTAD","United States Albania","1995-11-01","ALB-USA[NA]_1995O"
"210","GPTAD","EC Israel","1995-11-20","ECISRL_1995O"
"211","GPTAD","CEFTA Accession Of Slovenia","1995-11-25","CFTACS_1995O"
"212","GPTAD","EC Turkey","1996-01-01","ECTRKY_1996O"
"213","GPTAD","Estonia Slovak Republic","1996-01-07","EST-SVK[SLV]_1996O"
"214","GPTAD","Slovenia The Former Yugoslav Republic Of Macedonian","1996-01-07","MKD-SVN[NA]_1996O"
"215","GPTAD","EC Morocco","1996-02-26","ECMRCC_1996O"
"216","GPTAD","Israel Turkey","1996-03-14","ISR-TUR[NA]_1996O"
"217","GPTAD","Georgia Turkmenistan","1996-03-20","GEO-TKM[NA]_1996O"
"218","GPTAD","Eurasian Economic Community (EAEC)","1996-03-29","ERSNEC_1996O"
"219","GPTAD","Latvia Slovak Republic","1996-04-19","LVA-SVK[SLV]_1996O"
"220","GPTAD","Latvia Slovenia","1996-04-22","LVA-SVN[NA]_1996O"
"221","GPTAD","Canada Chile","1996-05-12","CAN-CHL[NA]_1996O"
"222","GPTAD","Chile China","1996-05-12","CHL-CHN[NA]_1996O"
"223","GPTAD","EC Faroe Islands","1996-06-12","ECFRIS_1996O"
"224","GPTAD","BAFTA Agricultural Goods","1996-06-16","BFTAGG_1996O"
"225","GPTAD","MERCOSUR Chile","1996-06-25","MRCSRC_1996O"
"226","GPTAD","Lithuania Poland","1996-06-27","LTU-POL[NA]_1996O"
"227","GPTAD","Canada Israel","1996-07-31","CAN-ISR[NA]_1996O"
"228","GPTAD","Azerbaijan Georgia","1996-08-03","AZE-GEO[NA]_1996O"
"229","GPTAD","SADC","1996-08-24","SADC_1996O"
"230","GPTAD","Andean Community (CAN)","1996-10-03","ANDNCM_1996O"
"231","GPTAD","Estonia Slovenia","1996-11-26","EST-SVN[NA]_1996O"
"232","GPTAD","Lithuania Slovakian","1996-11-27","LTU-SVK[NA]_1996O"
"233","GPTAD","MERCOSUR Bolivia","1996-12-17","MRCSRB_1996O"
"234","GPTAD","Kyrgyzstan Uzbekistann","1996-12-24","KGZ-UZB[NA]_1996O"
"235","GPTAD","Israel Slovak Republic","1997-01-01","ISR-SVK[SLV]_1997O"
"236","GPTAD","Lithuania Slovenia","1997-01-03","LTU-SVN[NA]_1997O"
